,titles,released,developers,publishers,genres
1096,Elf Bowling 3,2002,"NStorm, Inc.","NStorm, Inc.",Sport
1097,Elf Bowling 6: Air Biscuits,2005,"NStorm, Inc.","NStorm, Inc.",Sport
1098,Elf Bowling: Bocce Style,2004,"NStorm, Inc.","NStorm, Inc.",Sport
1099,Elf Bowling: Hawaiian Vacation,2008,"Hot Lava Games, NStorm, Inc.","MumboJumbo, LLC",Sport
1100,Elite Warriors: Vietnam,2005,nFusion,Infogrames,"Shooter, Strategy"
1101,Elven Legacy,2009,1C Company,Paradox Interactive,"Strategy, Turn-based strategy (TBS)"
1102,The Embodiment of Scarlet Devil,2002,Team Shanghai Alice,Team Shanghai Alice,Shooter
1103,Emerald City Confidential,2009,Wadjet Eye Games,PlayFirst,Adventure
1104,Emergency,1998,Sixteen Tons Entertainment,Arush Entertainment,"Simulator, Strategy"
1105,Emergency Fire Response,2003,Monte Cristo Multimedia,DreamCatcher Interactive,Strategy
1106,Emergency Hospital,2009,GameInvest,GameInvest,Strategy
1107,Emperor: Battle for Dune,2001,"Intelligent Games, Westwood Studios",EA Games,"Real Time Strategy (RTS), Strategy"
1108,Emperor: Rise of the Middle Kingdom,2002,"BreakAway Games, Impressions Games",Sierra Entertainment,"Real Time Strategy (RTS), Simulator, Strategy"
1109,Empire Earth,2001,Stainless Steel Studios,Sierra Entertainment,"Real Time Strategy (RTS), Simulator, Strategy"
1110,Empire Earth: The Art of Conquest,2002,Mad Doc Software,Sierra Entertainment,"Real Time Strategy (RTS), Simulator, Strategy"
1111,Empire Earth II,2005,Mad Doc Software,Vivendi Universal,"Real Time Strategy (RTS), Simulator, Strategy"
1112,Empire Earth II: The Art of Supremacy,2006,Mad Doc Software,Vivendi Universal,"Real Time Strategy (RTS), Simulator, Strategy"
1113,Empire Earth III,2007,Mad Doc Software,Sierra Entertainment,"Real Time Strategy (RTS), Simulator, Strategy"
1114,Empire of the Ants,2000,Microids,Microids,"Simulator, Strategy"
1115,Empire: Total War,2009,The Creative Assembly,Sega,"Real Time Strategy (RTS), Strategy"
1116,Empires: Dawn of the Modern World,2003,Stainless Steel Studios,Activision,"Real Time Strategy (RTS), Strategy"
1117,Enclave,2002,Starbreeze Studios,Vivendi Universal Games,"""Hack and slash/Beat em up"""
1118,Endless Ages,2003,Avaria Corporation,SummitSoft Entertainment,"Role-playing (RPG), Adventure"
1119,Endorfun,1995,Onesong Partners,Time Warner Interactive,"Puzzle, Strategy"
1120,Enemy Engaged 2,2007,G2 CES,G2 Games,Simulator
1121,Enemy Engaged: RAH-66 Comanche vs. KA-52 Hokum,2000,Razorworks,Empire Interactive,Simulator
1122,Enemy Nations,1997,Windward Studios,Head Games Publishing,"Simulator, Strategy"
1123,Enemy Territory: Quake Wars,2007,"Splash Damage, id Software",Activision,"Shooter, Strategy"
1124,Enemy Zero,1996,WARP,Sega,"Shooter, Tactical"
1125,Enigma: Rising Tide,2003,Tesseraction Games,Dreamcatcher Interactive,Simulator
1126,Enigmo,2003,Pangea Software,Pangea Software,Puzzle
1127,Enter the Matrix,2003,Shiny Entertainment,"Atari, Warner Bros. Interactive Entertainment","Fighting, Shooter, Racing, ""Hack and slash/Beat em up"", Adventure"
1128,Entomorph: Plague of the Darkfall,1995,Cyberlore Studios,Mindscape,"Point-and-click, Role-playing (RPG), Adventure"
1129,Entropia Universe,2003,"MindArk, FPC","MindArk, FPC","Shooter, Role-playing (RPG)"
1130,Eragon,2006,"Stormfront Studios, Amaze Entertainment",Vivendi Universal Games,"""Hack and slash/Beat em up"", Adventure"
1131,Escape from Monkey Island,2000,LucasArts,LucasArts,"Point-and-click, Puzzle, Adventure"
1132,Escape From Paradise City,2007,Sirius Games,CDV Software,"Real Time Strategy (RTS), Strategy"
1133,Escape Velocity Nova,2002,"Ambrosia Software, ATMOS",Ambrosia Software,Strategy
1134,Eschalon: Book I,2007,Basilisk Games,Basilisk Games,"Role-playing (RPG), Indie"
1135,Eschalon: Book II,2009,Basilisk Games,Basilisk Games,"Role-playing (RPG), Indie"
1136,Eternal Fantasy,2007,Circus,Circus,"Role-playing (RPG), Turn-based strategy (TBS)"
1137,Eternal Lands,2003,Radu Privantu,Radu Privantu,Role-playing (RPG)
1138,Eternal Silence,2006,Crankshaft Games,Valve,Shooter
1139,Eternitys Child,2008,"Luc Bernard, Silver Sphere Studios",Silver Sphere Studios,"Platform, Adventure, Indie"
1140,Eufloria,2009,Omni Systems Limited,Headup Games,"Strategy, Indie"
1141,Euro Truck Simulator,2008,SCS Software,"Rondomedia, Akella, Excalibur Publishing, TopWare, Seven M, Anuman, Wendros","Simulator, Adventure, Indie"
1142,Eurofighter Typhoon,2001,"Digital Image Design, Rage Software",Rage Software,Simulator
1143,Europa 1400: The Guild,2002,4HEAD Studios,JoWood Productions,"Real Time Strategy (RTS), Simulator, Strategy"
1144,Europa Universalis,2000,Paradox Interactive,"Strategy First, Typhoon Games","Real Time Strategy (RTS), Simulator, Strategy"
1145,Europa Universalis II,2001,Paradox Interactive,Strategy First,"Simulator, Strategy"
1146,Europa Universalis III,2007,Paradox Interactive,Paradox Interactive,Turn-based strategy (TBS)
1147,Europa Universalis III: In Nomine,2008,Paradox Interactive,Paradox Interactive,Strategy
1148,Europa Universalis III: Napoleons Ambition,2007,Paradox Interactive,Paradox Interactive,Strategy
1149,Europa Universalis: Crown of the North,2000,Paradox Entertainment,"Levande Böcker, PAN Vision, Strategy First","Simulator, Strategy"
1150,Europa Universalis: Rome,2008,Paradox Interactive,Paradox Interactive,"Real Time Strategy (RTS), Simulator, Strategy"
1151,Europe Racer,2001,Davilex Games,Infogrames,Racing
1152,European Air War,1998,MicroProse,MicroProse,Simulator
1153,EVE Burst Error,1997,Cs Ware,Cs Ware,Adventure
1154,Eve Online,2003,CCP Games,"SSI, CCP Games","Role-playing (RPG), Simulator, Strategy"
1155,Ever 17: The Out of Infinity,2002,KID,"KID, T-TIME Technology, Beijing Entertainment All Technology, Hirameki International","Adventure, Visual Novel"
1156,EverQuest,1999,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
1157,EverQuest II,2004,Sony Online Entertainment,"Sony Online Entertainment, Gamania, Akella, Square Enix, Ubisoft",Role-playing (RPG)
1158,EverQuest II: The Shadow Odyssey,2008,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
1159,EverQuest: Depths of Darkhollow,2005,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
1160,EverQuest: Dragons of Norrath,2005,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
1161,EverQuest: Lost Dungeons of Norrath,2003,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
1162,EverQuest: Prophecy of Ro,2006,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
1163,EverQuest: Secrets of Faydwer,2007,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
1164,EverQuest: The Buried Sea,2007,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
1165,EverQuest: The Serpents Spine,2006,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
1166,Everyday Shooter,2007,Queasy Games,Valve,"Shooter, Music, Indie"
1167,Everything,2017,David OReilly,Double Fine Productions,Indie
1168,Evidence: The Last Ritual,2006,Lexis Numerique,"Ubisoft, The Adventure Company","Puzzle, Adventure"
1169,Evil Dead: Hail to the King,2000,Heavy Iron Studios,THQ,Adventure
1170,Evil Dead: Regeneration,2005,Cranky Pants Games,THQ,"""Hack and slash/Beat em up"", Adventure"
1171,Evil Genius,2004,Elixir Studios,Sierra Entertainment,"Simulator, Strategy"
1172,Evil Islands: Curse of the Lost Soul,2000,Nival Interactive,Nival Interactive,"Role-playing (RPG), Strategy"
1173,Evil Twin: Cypriens Chronicles,2001,In Utero,Ubisoft,Platform
1174,Evochron Alliance,2007,StarWraith 3D Games,StarWraith 3D Games,Simulator
1175,Evochron Renegades,2007,StarWraith 3D Games,StarWraith 3D Games,Simulator
1176,Evolution: The Game of Intelligent Life,1997,Crossover Technologies,"Interplay Entertainment, Egmont Interactive, Rede Globo","Simulator, Strategy"
1177,Evolva,2000,Computer Artworks Ltd.,Interplay Entertainment,"Shooter, Strategy, Adventure"
1178,Evoland,2013,Shiro Games,Shiro Games,"Role-playing (RPG), Adventure, Indie"
1179,Evoland 2,2015,Shiro Games,Shiro Games,"Fighting, Music, Platform, Role-playing (RPG), Strategy, Turn-based strategy (TBS), ""Hack and slash/Beat em up"", Adventure, Indie"
1180,Excalibur 2555 AD,1997,Tempest Software,Sir-tech,Adventure
1181,Explodemon,2009,Curve Studios,Curve Studios,"Platform, Puzzle, Strategy, Adventure, Indie"
1182,Exteel,2007,NCsoft,NCsoft,Shooter
1183,Extreme Paintbrawl,1998,Creative Carnage,Head Games Publishing,Shooter
1184,Extreme Rock Climbing,1999,Creative Carnage,Head Games Publishing,Sport
1185,Extreme-G 2,1998,Probe Entertainment,Acclaim Entertainment,"Racing, Sport"
1186,EZ2ON,1998,Retro Games,Retro Games,Music
1187,F-22 Lightning II,1996,NovaLogic,NovaLogic,"Shooter, Simulator"
1188,F-22 Lightning 3,1999,Novalogic,Electronic Arts,Simulator
1189,F-22 Raptor,1997,Novalogic,Novalogic,"Fighting, Simulator"
1190,F-22 Total Air War,1998,Digital Image Design,Infogrames,"Simulator, Strategy"
1191,The F.A. Premier League Football Manager 2000,1999,EA UK,EA Sports,Sport
1192,The F.A. Premier League Football Manager 2001,2000,EA UK,EA Sports,Sport
1193,The F.A. Premier League Football Manager 99,1998,EA UK,EA Sports,Sport
1194,F.E.A.R.,2005,Monolith Productions,Vivendi Universal,Indie
1195,F.E.A.R. 2: Project Origin,2009,Monolith Productions,Warner Bros. Interactive Entertainment,"Shooter, Adventure"
1196,F.E.A.R. Extraction Point,2006,TimeGate Studios,Vivendi Universal,Shooter
1197,F.E.A.R. Perseus Mandate,2007,TimeGate Studios,Sierra Entertainment,Shooter
1198,F1 2000,2000,Image Space Incorporated,EA Sports,"Racing, Simulator"
1199,F1 Challenge 99-02,2003,Image Space Incorporated,EA Sports,"Racing, Simulator, Sport"
1200,F1 Manager,2000,Intelligent Games,EA Sports,"Racing, Simulator, Strategy"
1201,F1 Racing Championship,2000,Ubisoft,Video System,"Racing, Simulator"
1202,Fable,1996,Simbiosis Interactive,Sir-Tech,"Strategy, Turn-based strategy (TBS), Card & Board Game"
1203,Fable,2004,"Lionhead Studios, Big Blue Box",Microsoft Game Studios,"Strategy, Turn-based strategy (TBS), Card & Board Game"
1204,Faces of War,2016,Best Way,Ubisoft,"Real Time Strategy (RTS), Simulator, Strategy, Tactical"
1205,Factorio,2006,Wube Software,Wube Software,"Simulator, Strategy, Indie"
1206,Fade,2001,Fade Team,PocketGearHandango,"Role-playing (RPG), Adventure"
1207,Fae Tactics,2020,Endlessfluff Games,Humble Games,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical, Indie"
1208,Fahrenheit,2005,Quantic Dream,Atari,Adventure
1209,Fahrenheit: Indigo Prophecy Remastered,2015,"Quantic Dream, Aspyr",Aspyr,"Role-playing (RPG), Adventure"
1210,The Fairly OddParents: Breakin Da Rules,2003,Blitz Games,THQ,"Platform, Adventure"
1211,The Fairly OddParents: Shadow Showdown,2004,ImaginEngineBlitz Games,THQ,"Platform, Adventure"
1212,Fairway Solitaire,2007,Grey Alien Games,Big Fish Games,Puzzle
1213,Fairy Godmother Tycoon,2007,Pogo.comElectronic Arts,Electronic Arts,Simulator
1214,Fairy Wars,2010,Team Shanghai Alice,Team Shanghai Alice,Indie
1215,Fairytale Fights,2009,Playlogic Game Factory,Playlogic Entertainment,"Platform, ""Hack and slash/Beat em up"", Adventure"
1216,Falcon 4.0,1998,MicroProse,MicroProse,Simulator
1217,Falcon 4.0: Allied Force,2005,Lead Pursuit,Graphsim EntertainmentExcalibur Publishing,Simulator
1218,Fallen Earth,2009,Reloaded Productions,K2 Network,"Shooter, Role-playing (RPG)"
1219,Fallen Empire: Legions,2008,GarageGames,InstantAction,"Role-playing (RPG), Adventure"
1220,Falling Stars,2007,Ivolgamus,AgetecNordcurrent,Adventure
1221,Fallout,1997,Black Isle Studios,Interplay Entertainment,"Shooter, Role-playing (RPG)"
1222,Fallout 2,1998,Black Isle Studios,Interplay Entertainment,"Role-playing (RPG), Adventure"
1223,Fallout 3,2008,Bethesda Game Studios,Bethesda Softworks,"Shooter, Role-playing (RPG), Sport"
1224,Fallout 4,2015,Bethesda Game Studios,Bethesda Softworks,"Shooter, Role-playing (RPG)"
1225,Fallout 76,2018,Bethesda Game Studios,Bethesda Softworks,"Shooter, Role-playing (RPG)"
1226,Fallout Shelter,2016,"Bethesda Game Studios, Behaviour Interactive",Bethesda Softworks,"Role-playing (RPG), Simulator, Strategy"
1227,Fallout Tactics: Brotherhood of Steel,2001,Micro Forte,14 Degrees East,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical"
1228,Fallout: New Vegas,2010,Obsidian Entertainment,Bethesda Softworks,"Shooter, Role-playing (RPG)"
1229,Fantastic Four,2005,"7 Studios, Beenox Studios",Activision,Adventure
1230,Fantasy Earth: Zero,2006,Fenix Soft,Gamepot,"Role-playing (RPG), Adventure"
1231,Fantasy General,1996,"Strategic Simulations, Inc.","Strategic Simulations, Inc.","Strategy, Turn-based strategy (TBS)"
1232,Fantasy Wars,2007,Ino-Co,"1C Company, Nobilis France","Role-playing (RPG), Strategy, Indie"
1233,Far Cry,2004,Crytek,Ubisoft,"Shooter, Adventure"
1234,Far Cry 2,2008,Ubisoft Montreal,Ubisoft,"Shooter, Adventure"
1235,Farland Saga,1996,Technical Group Laboratory,Technical Group Laboratory,Role-playing (RPG)
1236,Farland Saga: Toki no Michishirube,1997,Technical Group Laboratory,Technical Group Laboratory,Role-playing (RPG)
1237,Farland Odyssey,1999,Technical Group Laboratory,Technical Group Laboratory,Strategy
1238,Farscape: The Game,2002,Red Lemon Studios,Crucial Entertainment,"Strategy, Adventure"
1239,Fast Food Tycoon,2000,Software 2000,Activision Value Publishing,"Simulator, Strategy"
1240,Fast Food Tycoon 2,2001,Software 2000,Activision Value,"Simulator, Strategy"
1241,Fatal Fury 3: Road to the Final Victory,1996,SNK,SNK,Fighting
1242,Fate,2005,"WildStudios, WildTangent",WildTangent,"Role-playing (RPG), Adventure, Indie"
1243,Fate: Undiscovered Realms,2008,"WildStudios, WildTangent",WildTangent,"Role-playing (RPG), Adventure"
1244,Feeding Frenzy,2004,"Sprout Games, PopCap Games","GameHouse, PopCap Games",Arcade
1245,Feeding Frenzy 2: Shipwreck Showdown,2006,PopCap Games,PopCap Games,Arcade
1246,Feudal Alloy,2019,Attu Games,Attu Games,"Platform, Role-playing (RPG), Adventure, Indie"
1247,Fez,2013,Polytron Corporation,Trapdoor,"Platform, Puzzle, Adventure, Indie"
1248,FIFA 06,2005,EA Canada,Electronic Arts,Sport
1249,FIFA 07,2006,EA Canada,Electronic Arts,Sport
1250,FIFA 08,2007,EA Canada,EA Sports,"Simulator, Sport"
1251,FIFA 09,2008,EA Canada,EA Sports,"Simulator, Sport"
1252,FIFA 10,2009,EA Canada,EA Sports,"Simulator, Sport"
1253,FIFA 11,2010,EA Canada,EA Sports,"Simulator, Sport"
1254,FIFA 12,2011,EA Canada,EA Sports,"Simulator, Sport"
1255,FIFA 13,2012,EA Canada,EA Sports,"Simulator, Sport"
1256,FIFA 14,2013,EA Canada,EA Sports,Sport
1257,FIFA 15,2014,EA Canada,EA Sports,Sport
1258,FIFA 16,2015,EA Canada,EA Sports,Sport
1259,FIFA 17,2016,"EA Vancouver, EA Bucharest",EA Sports,Sport
1260,FIFA 18,2017,"EA Vancouver, EA Romania",EA Sports,Sport
1261,FIFA 19,2018,"EA Vancouver, EA Romania",EA Sports,Sport
1262,FIFA 20,2019,"EA Vancouver, EA Romania",EA Sports,Sport
1263,FIFA 2000,1999,EA Canada,Electronic Arts,Sport
1264,FIFA 2001,2000,EA Canada,Electronic Arts,Sport
1265,FIFA 2002,2001,EA Canada,Electronic Arts,Sport
1266,FIFA 97,1996,EA Canada,Electronic Arts,Sport
1267,FIFA 99,1998,EA Canada,Electronic Arts,"Simulator, Sport"
1268,FIFA Football 2005,2004,EA Canada,Electronic Arts,Sport
1269,FIFA Manager 06,2005,EA Canada,Electronic Arts,Sport
1270,FIFA Manager 07,2006,Bright Future,Electronic Arts,Sport
1271,FIFA Manager 07: Extra Time,2007,Bright Future,Electronic Arts,Sport
1272,FIFA Manager 08,2007,Bright Future,Electronic Arts,"Simulator, Sport"
1273,FIFA Manager 09,2008,Bright Future,Electronic Arts,"Simulator, Sport"
1274,FIFA Manager 10,2009,Bright Future,Electronic Arts,"Simulator, Sport"
1275,FIFA: Road to World Cup 98,1997,EA Canada,Electronic Arts,Sport
1276,FIFA Soccer Manager,1997,EA Sports,EA Sports,"Simulator, Sport"
1277,FIFA World Cup: Germany 2006,2006,EA Canada,EA Sports,Sport
1278,Fighter Squadron: The Screamin Demons Over Europe,1999,Parsoft Interactive,Activision,Simulator
1279,Fighters Anthology,1997,Janes Combat Simulations,Electronic Arts,"Fighting, Arcade"
1280,Fighties,2015,PillowPigGames,PillowPigGames,Indie
1281,Fighting Force,1997,Core Design,Eidos Interactive,"Fighting, ""Hack and slash/Beat em up"", Adventure"
1282,Final Doom,1996,"id Software, TeamTNT, Casali brothers",GT Interactive,Shooter
1283,Final Fantasy VII,1997,Square Co.,Eidos Interactive,"Role-playing (RPG), Adventure"
1284,Final Fantasy VIII,1999,Square Co.,"Square Co., Square Electronic Arts, Eidos Interactive","Role-playing (RPG), Adventure"
1285,Final Fantasy XI,2002,Square Co.,"Square Co., Square Enix","Role-playing (RPG), Adventure"
1286,Final Fantasy XIII,2014,Square Enix,Square Enix,"Role-playing (RPG), Adventure"
1287,Final Fantasy XIV,2010,Square Enix,Square Enix,"Role-playing (RPG), Adventure"
1288,Final Fantasy XV: Windows Edition,2018,Square Enix,Square Enix,"Role-playing (RPG), ""Hack and slash/Beat em up"", Adventure"
1289,Final Liberation,1997,Holistic Design,"Strategic Simulations, Inc.",Turn-based strategy (TBS)
1290,The Final Scene,2001,Her Interactive,DreamCatcher,Adventure
1291,Finding Nemo,2003,Travellers Tales,"THQ, Disney Interactive, Yukes",Adventure
1292,Finding Teddy II,2015,Storybird,LookAtMyGame,"Platform, Role-playing (RPG), Adventure"
1294,Firepower,2004,Shockwave Productions,"GMX media, TRI SYNERGY",Simulator
1295,Fire Fight,1996,"Chaos Works, Epic MegaGames",Electronic Arts,"Simulator, Sport"
1296,Firo and Klawd,1996,Interactive Studios,BMG,"Shooter, Adventure"
1297,First Battalion,2006,ZootFly,DreamCatcher Games,Simulator
1298,First Queen,1994,Kure Software Koubou,Culture Brain,Real Time Strategy (RTS)
1299,First Strike: Final Hour,2017,Blindflug Studios,Blindflug Studios,"Strategy, Indie"
1300,Fish Tycoon,2004,Last Day of Work,Big Fish Games,Simulator
1301,FlatOut,2004,Bugbear Entertainment,Empire Interactive,"Racing, Arcade"
1302,FlatOut 2,2006,Bugbear Entertainment,Empire Interactive,"Racing, Arcade"
1303,FlatOut: Ultimate Carnage,2007,Bugbear Entertainment,Empire Interactive,"Racing, Arcade"
1305,Fleet Command,1999,Sonalysts Combat Simulations,"Electronic Arts, Strategy First","Strategy, Tactical"
1306,Fleet Defender Gold,1995,Microprose,Microprose,Simulator
1307,Flesh Feast,1998,Ingames,SegaSoft,"Puzzle, ""Hack and slash/Beat em up"""
1308,Flight Unlimited,1996,Looking Glass Studios,Virgin Interactive,"Racing, Simulator"
1309,Flight Unlimited II,1997,Looking Glass Studios,Eidos Interactive,Simulator
1310,Flight Unlimited III,1999,Looking Glass Studios,Electronic Arts,Simulator
1311,Flying Tigers: Shadows Over China,2017,Ace Maddox,Ace Maddox,"Simulator, Adventure, Indie"
1312,Flock!,2009,Proper Games,Capcom,"Adventure, Indie"
1313,Flying Corps,1996,Rowan Software,Empire Interactive,"Strategy, Indie"
1314,The Fool and His Money,2009,Cliff Johnson,Cliff Johnson,Puzzle
1315,Football Manager,2005,Sports Interactive,SEGA,"Simulator, Sport, Strategy"
1316,Football Manager 2005,2005,Sports Interactive,SEGA,"Simulator, Sport, Strategy"
1317,Football Manager 2006,2005,Sports Interactive,SEGA,"Sport, Strategy"
1318,Football Manager 2007,2006,Sports Interactive,Sega,"Simulator, Sport, Strategy"
1319,Football Manager 2008,2007,Sports Interactive,Sega,"Simulator, Sport, Strategy"
1320,Football Manager 2009,2008,Sports Interactive,Sega,Sport
1321,Football Manager 2010,2009,Sports Interactive,Sega,Sport
1322,Football Manager Live,2008,Sports Interactive,SEGA,Sport
1323,Forbes Corporate Warrior,1997,Brooklyn Multimedia,Byron Preiss Multimedia,"Shooter, Simulator"
1324,Ford Racing,2001,Razorworks,Empire Interactive,Racing
1325,Ford Street Racing,2006,Razorworks,Empire Interactive,Racing
1326,The Forgotten Realms Archives,1997,"Strategic Simulations, Inc.",Interplay Entertainment,Role-playing (RPG)
1327,Forgotten Realms: Demon Stone,2004,Stormfront Studios,Atari,Role-playing (RPG)
1328,Formula 1,1996,Bizarre Creations,Psygnosis,Racing
1329,Formula 1 97,1997,Bizarre Creations,Psygnosis,"Racing, Sport"
1330,Formula One 99,1999,Studio 33,Psygnosis,"Racing, Simulator"
1331,Forsaken,1999,Probe Entertainment,Acclaim,"Simulator, Strategy, Adventure, Indie"
1333,Forza Motorsport 7,2017,Turn 10 Studios,Microsoft Studios,Racing
1335,Fragile Allegiance,1997,"Gremlin Interactive, Cajji Software",Gremlin Interactive,"Real Time Strategy (RTS), Simulator, Strategy"
1336,Frank Herberts Dune,2001,Cryo Interactive,Widescreen Games,"Shooter, Simulator"
1337,Frankenstein: Through the Eyes of the Monster,1996,Amazing Media,Interplay Entertainment,Adventure
1338,Freddi Fish and Luthers Maze Madness,1996,Humongous Entertainment,Humongous Entertainment,"Adventure, Arcade"
1339,Freddi Fish and Luthers Water Worries,1996,Humongous Entertainment,Humongous Entertainment,Adventure
1340,Freddi Fish and the Case of the Missing Kelp Seeds,1994,Humongous Entertainment,Humongous Entertainment,"Platform, Puzzle, Adventure"
1341,Freddi Fish 2: The Case of the Haunted Schoolhouse,1996,Humongous Entertainment,Humongous Entertainment,"Point-and-click, Adventure"
1342,Freddi Fish 3: The Case of the Stolen Conch Shell,1998,Humongous Entertainment,Humongous Entertainment,"Point-and-click, Adventure"
1343,Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,1999,Humongous Entertainment,Humongous Entertainment,"Point-and-click, Adventure"
1344,Freddi Fish 5: The Case of the Creature of Coral Cove,2001,Humongous Entertainment,Humongous Entertainment,"Point-and-click, Adventure"
1345,Freddy Pharkas: Frontier Pharmacist,1993,"Al Lowe, Josh Mandel",Sierra On-Line,"Point-and-click, Adventure"
1346,Free Realms,2009,SOE San Diego,Sony Online Entertainment,"Puzzle, Racing, Role-playing (RPG), Turn-based strategy (TBS)"
1347,Freeciv,1999,The Freeciv developers,The Freeciv project,"Simulator, Strategy"
1348,FreeCol,2003,The Freecol Team,SourceForge.net,Turn-based strategy (TBS)
1349,Freedom Fighters,2003,IO Interactive,Electronic Arts,"Shooter, Arcade"
1350,Freedom Force,2002,Irrational Games,Electronic Arts,"Role-playing (RPG), Strategy, Tactical"
1351,Freedom Force vs the 3rd Reich,2005,Irrational Games,Digital Jesters,"Role-playing (RPG), Strategy, Tactical"
1352,Freelancer,2003,Digital Anvil,Microsoft Game Studios,"Racing, Simulator, Indie"
1353,FreeSpace 2,1999,Volition,Interplay Entertainment,Simulator
1354,Freestyle Street Soccer,2004,Silicon Dreams Studio,Acclaim,Sport
1356,Fritz (chess),1995,Frans Morsch,Chessbase,"Strategy, Adventure"
1357,Frogger 3D,1997,SCE Studio Cambridge,Hasbro Interactive,"Puzzle, Adventure, Arcade"
1358,Frogger Beyond,2002,Konami,Konami,Platform
1359,Froggers Adventures: The Rescue,2003,Konami HWI,Konami,Adventure
1360,Frogger: Ancient Shadow,2005,Hudson Soft,Konami,Platform
1361,Frogger: The Great Quest,2001,Konami,Konami,"Platform, Adventure"
1362,From Dusk Till Dawn,2001,Gamesquad,Cryo Interactive,Shooter
1363,Front Page Sports: Football Pro 98,1997,Synergistic Software,Sierra On-Line,"Simulator, Sport"
1364,Front Page Sports: Golf,1997,Headgate Studios,Sierra On-Line,Sport
1365,Front Page Sports: Trophy Bass 2,1996,Dynamix,Sierra On-Line,Sport
1366,Front Page Sports: Trophy Bass 2 - Northern Lakes,1997,Dynamix,Sierra On-Line,Sport
1367,Front Page Sports: Trophy Rivers,1997,Dynamix,Sierra On-Line,Sport
1368,Frontlines: Fuel of War,2008,Kaos Studios,THQ,Shooter
1369,Frozen Bubble,2002,Guillaume Cottenceau,Guillaume Cottenceau,Puzzle
1370,Frozen Synapse,2011,Mode 7 Games,Mode 7 Games,"Strategy, Indie"
1374,Fuel,2006,Firetoad Software,DreamCatcher,Racing
1375,Fuel,2009,Asobo Studio,Codemasters,Racing
1376,Full Pipe,2003,Pipe Studio,1C Company,"Point-and-click, Puzzle, Adventure"
1377,Full Spectrum Warrior,2004,Pandemic Studios,THQ,"Real Time Strategy (RTS), Simulator, Strategy"
1378,Full Spectrum Warrior: Ten Hammers,2006,Pandemic Studios,THQ,"Real Time Strategy (RTS), Simulator, Strategy"
1379,Full Throttle Remastered,2017,Double Fine Productions,Double Fine Productions,"Point-and-click, Adventure"
1380,Full Tilt! Pinball,1996,Cinematronics,Microsoft,Pinball
1381,Fur Fighters,2000,Bizarre Creations,Acclaim,"Shooter, Platform, Puzzle"
1382,Furcadia,1996,Dragons Eye Productions,Dragons Eye Productions,"Role-playing (RPG), Simulator, Adventure"
1383,Fury,2007,Auran,Gamecock Media Group,Arcade
1384,Fury3,1995,Terminal Reality,Microsoft,"Shooter, Simulator"
1385,Fuser,2020,Harmonix,NCSoft,Music
1386,Future Cop: LAPD,1998,Electronic Arts,Electronic Arts,Shooter
1387,Future Tactics: The Uprising,2004,Zed Two,NA: Crave EntertainmentEU: JoWooD Productions,"Shooter, Strategy"
1388,FX Fighter Turbo,1996,Argonaut Software Ltd.,GTE Entertainment,Pinball
1389,G-Darius,2001,Taito,"CyberFront Corporation, MediaKite, Sourcenext","Shooter, Adventure, Arcade"
1390,G-Force,2009,Eurocom,Disney Interactive Studios,"Platform, Adventure"
1391,G-Nome,1997,7th Level,7th Level,Fighting
1392,G-Police,1997,Psygnosis,Psygnosis,"Shooter, Simulator"
1393,G.I. Joe: The Rise of Cobra,2009,Double Helix Games,Electronic Arts,Shooter
1394,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",1999,Sierra On-Line,Sierra On-Line,Adventure
1395,Gabriel Knight: Sins of the Fathers,1993,Sierra On-Line,Sierra On-Line,"Point-and-click, Adventure"
1396,Gadget Trial,2006,KOGADO Studio,KOGADO Studio,"Turn-based strategy (TBS), Visual Novel"
1397,"Gadget: Invention, Travel, & Adventure",1993,"Synergy, Inc.",Synergy Interactive,"Adventure, Visual Novel"
1398,Gal*Gun: Double Peace,2016,Inti Creates,"Alchemist, PQube","Shooter, Role-playing (RPG), Adventure"
1399,Gal*Gun Returns,2021,Inti Creates,"Inti Creates, PQube","Shooter, Adventure, Arcade"
1400,Galactic Civilizations,2003,Stardock,Strategy First,Turn-based strategy (TBS)
1401,Galactic Civilizations II: Dark Avatar,2007,Stardock,Stardock,"Strategy, Turn-based strategy (TBS)"
1402,Galactic Civilizations II: Dread Lords,2006,Stardock,Stardock,Turn-based strategy (TBS)
1403,Galactic Civilizations II: Endless Universe,2008,Stardock,Kalypso Media,"Strategy, Turn-based strategy (TBS), Indie"
